标题,输出图片 (Output),输入说明 (Input),提示词 (Prompt)
 玩具分解展示,nano011.jpg,无,桌子上只有一个[阿童木]的玩具，玩具被对半分为左右两部分展示，玩具左半边是正常的玩具形象，右半边是透明的外壳，可以清晰的看到里面的内部构造，并有白色的线指出每一个部分是做什么的，在桌面上，明亮的背景，虚化的桌子。左边展示这个一半透明一半实体的玩具，画面的右边展示各类线条指出的参数指
 蓬松毛绒玩具,nano012.jpg,** 需上传一张参考图片,将一个简单的扁平矢量标志转换成一个柔软蓬松的3D立体物体。使用原有颜色。该物体完全被毛发覆盖，拥有超逼真的毛发纹理和柔和的阴影。它位于干净的浅灰色背景中央，轻柔地漂浮在空中。风格超现实、触感丰富且现代，营造出舒适和趣味盎然的感觉。采用摄影棚灯光和高分辨率渲染。
 水晶质感emoji,nano013.jpg,无,"一幅照片级真实、细节高度丰富的图像，主体是 [一台 3D 拍立得相机]，以清澈、抛光度极高的透明玻璃或水晶材质渲染而成。[机身具有明显的厚度与立体深度，经典拍立得相机的标志性造型——方正机身、前置镜头、顶部取景器、正面拍照按钮以及底部吐片槽——全部以简化却极为精确的几何结构呈现，使其无需任何图案就能一眼辨认]。所有边缘采用圆润倒角与光滑曲面处理，在光线下产生优雅的折射效果。相机略微倾斜摆放，仿佛漂浮在洁净无暇、无缝衔接的淡米白或极浅灰色棚拍背景上方。

照明为明亮、干净的专业棚拍光，重点突出玻璃材质的透明性、镜面反射与折射特性。机身倒角、吐片槽边缘与镜头圆环处呈现锐利而细腻的高光，凸显晶莹质感与奢华视觉。光线穿透玻璃机身内部时产生微妙的折射、光线弯曲与局部失真效果，在镜头厚度变化区、吐片槽内部与顶部取景器附近尤为明显，极大增强了逼真感与视觉冲击力。相机下方与稍偏后方落下一片柔和、漫散的阴影，使画面具有落地感却不破坏极简气质。

整体美学风格极简、现代、干净，呈现高端产品摄影与概念艺术渲染的视觉效果。画面焦点完全聚焦于玻璃拍立得相机晶莹剔透的材质表现与经典几何造型。影像整体为高调光感与浅景深处理，使拍立得相机保持绝对清晰的焦点，而背景柔和虚化，从而最大程度突出主体。"
蓬松充气玩具,nano014.jpg,** 需上传一张参考图片,将附件中的标志制作成一个高分辨率的3D渲染图，形状应为充气蓬松的物体。形状应呈现柔软饱满的效果，如同毛绒气球或充气玩具。使用光滑的哑光纹理，并添加细微的织物褶皱和缝线，以突出充气效果。物体应略带弹性，并辅以柔和的阴影和光线，以增强体积感和真实感。将其放置在简洁的背景（浅灰色）上。
手绘等距图,nano015.jpg,** 需上传一张参考图片,绘制这条街道的手绘等距示意图
揭秘照片的幕后制作过程,nano016.jpg,** 需上传一张参考图片,我想看看这张照片拍摄的幕后花絮，了解它是如何诞生的。
根据面部估算年龄,nano017.jpg,** 需上传一张参考图片,根据（您的照片）制作一张超逼真、高分辨率的肖像信息图。保持（您的照片）中人物的身份、发型、服装和自然肤色不变，并使用中性摄影棚背景。在整张脸上叠加一个微妙的半透明面部分析网格，类似于3D面部扫描网格：纤细柔和的白色线条沿着面部轮廓延伸，略带光泽但不遮盖皮肤细节。在脸部一侧添加一条清晰的垂直红色激光线，如同未来主义的扫描效果。所有分析线都必须柔和、简洁、优雅，如同美容科技广告一般。制作一张简洁的医学美容信息图，使用全局数据百分比评估5个衰老因素：1. 细纹和皱纹；2. 皮肤纹理和弹性；3. 面部容量和下垂；4. 眼周衰老迹象；5.肤色和色素沉着：针对每个因素，放置一个带有细线指向相应面部区域的小标签，并在旁边写上简短的标题和一个0-100%的实际百分比分数（基于全球数据），例如：“细纹和皱纹 - 18%”“皮肤纹理和弹性 - 72%”“面部容量和下垂 - 35%”“眼周衰老迹象 - 41%”“肤色和色素沉着 - 63%”。使用简洁、现代的无衬线字体和小号技术风格文本，类似于科学的面部分析用户界面。在图像底部中央，用粗体大字显示基于分析的最终估计真实年龄，例如：“估计年龄：（基于面部分析的随机数字）”。整体风格：未来主义的AI引导护肤分析，极简主义，高级编辑灯光，不提及性别，适用于任何面部。
 历史报纸,nano018.jpg,无,一张1080x1080像素的特写照片，双手捧着一份白色报纸，镜头向下拍摄。背景极度虚化且偏暗，使报纸清晰醒目。报纸占据了画面的大部分，其内容清晰易读。醒目的标题为“[标题]”。画面中央是一张[照片描述]的大幅黑白照片。配文列数较多，清晰易读。每次拍摄都保持相同的风格、构图、光线、人物、虚化效果、布局和报纸设计，仅更改标题和照片。
 角色关系图,nano019.jpg,无,【日式恋爱模拟游戏】角色关系图。包含角色名称、关系箭头、好感度、冲突点。【剧情喜剧风格】。共7个角色。
 少女游戏设定集,nano020.jpg,无,一套用于设定少女游戏主角及配角的背景资料。
 角色等级进化,nano021.jpg,无,游戏设计插画。根据参考图，创作角色初级、中级、高级和精英四个版本，每个版本都应具有独特的外观，并按顺序排列。角色名称如下：[ A ]
 递归图像,nano022.jpg,无,1998 年的一张业余照片，照片中一位中年艺术家正在用手将电脑屏幕上的图像复制到绷紧的画布上的油画中，但图像本身却是这位艺术家绘制递归图像时的照片。
 多角色串场漫画,nano023.jpg,无,帮我生成动漫角色中的女角色的一个合集故事，其中包括娜美、罗宾、小樱、雏田、松本乱菊，做成彩色漫画的形式，要求中文。
 手办白模上色,nano024.jpg,无,为这张手办完成材质添加和上色，同时将周围环境变为符合角色设定的环境
 金句卡片,nano025.jpg,无,"一张宽的名人金句卡，棕色背景，衬线体浅金色 “保持饥饿, 保持愚蠢” 小字“——Steve Jobs”，文字前面带一个大的淡淡的引号，人物头像在左边，文字在右边，文字占画面比例2/3，人物占1/3，人物有点渐变过渡的感觉"
 清明上河图风格图像,nano026.jpg,无,"一幅气势恢宏、细节丰富的传统中国水墨彩绘手卷，绘于古旧绢本之上，完美地模仿了张择端名作《清明上河图》的艺术风格、笔法和散点透视。
中心场景：俯瞰熙熙攘攘的现代芝加哥河滨。画面焦点是巨大的钢制开启桥（杜萨布尔桥/密歇根大道桥），桥上车水马龙，无数汽车、黄色出租车和芝加哥交通管理局（CTA）公交车穿梭其间，所有景象均以精准的传统笔触描绘。
环境细节：下方的芝加哥河上，现代建筑风格的游船、水上出租车和皮划艇穿梭其间。河岸两侧林立着风格各异的芝加哥摩天大楼（形似箭牌大厦和论坛报大厦），以传统的“界画”建筑绘画技法绘制而成。背景中可见高架铁路和正在行驶的“L”型列车。
人类活动：河滨步道和桥边的人行道上挤满了数百个身着现代休闲服饰的小人。他们有的在慢跑，有的在用智能手机拍照，有的在街头小吃摊（热狗摊）前排队，有的在遛狗。整个场景细节丰富，略显杂乱，并以柔和的复古大地色调呈现。"
 电影分镜制作,nano027.jpg,无,使用宽屏面板，为《1984》第一页创作电影分镜脚本。
 黑板粉笔画,nano028.jpg,** 需上传一张参考图片,将这幅插图用粉笔在黑板上进行绘画，使用彩色粉笔，从某个角度拍摄了黑板，场景来自日本教室，黑板靠墙放置，老师的桌子在前面，插图旁边用粉笔写着“虎来了！”。
 微型自画像,nano029.jpg,** 需上传一张参考图片,创作一幅人物肖像，描绘此人作为艺术家正在绘制一个微型人偶。此人身着其最具标志性的服装，自信地直视镜头，一手拿着一支小画笔。一个迷你版的自己被醒目地放置在面前干净的工作台上——将人偶放大一些，使其比实际比例更显眼，从而更加突出。人偶也穿着同样的标志性服装，摆出标志性的姿势。工作台上摆放的绘画用品极简，避免杂乱——只有两三瓶小颜料和一支备用画笔，使画面焦点集中在人物和人偶上。柔和的中性白色背景，专业的影棚灯光，浅景深。构图突出了人物看向镜头的面部表情以及他正在绘制的人偶。画面风格简洁明快，追求照片级的写实效果，人物和人偶的细节都需高度还原。
 根据Wikipedia生成生平经历,nano030.jpg,** 需上传wikipedia链接,根据这篇文章 [维基百科页面] 制作一张关于此人生平的信息图。
 风格化地图,nano031.jpg,** 需上传一张google map图片,请给我展示一张拉斯维加斯赌场风格的俯视图。
 赛博风格名片,nano032.jpg,无,"一张逼真的赛博朋克风格未来感名片照片：左手拿着一张横向的亚克力无边框名片，尺寸与标准名片相同（3.5英寸×2英寸），几乎占据了整个画面。名片采用简洁的个人名片布局，没有任何横幅或背景图片。它拥有光滑圆润的边缘，散发出柔和的霓虹光芒，并带有蓝色、粉色和紫色的渐变效果。背景采用深色虚化处理，以突出发光的边缘，而握住名片的指尖则反射出电影般的光影，营造出一种高科技的全息氛围。名片表面晶莹剔透，文字元素如同精细雕刻而成。

如果提供了公司标志，请将其融入设计中；如果没有，请根据公司名称创建一个简洁的文字标志。

如果任何字段留空，请自动填充视觉效果好且符合语境的设计元素。

最终的名片应布局均衡、线条简洁、视觉层次清晰，适合专业印刷。

姓名：[填写姓名]

职称：[填写职称]

公司名称：[填写公司名称]

Logo：[使用附件/根据公司名称创建/留空]

联系方式：

- 电话（图标）：[电话号码]

- 电子邮箱（图标）：[电子邮件地址]

- 网站（图标）：[网站网址]

X（X 标志）：[X 用户名，例如 @dotey]

其他元素：[社交媒体/二维码/标语/留空]"
 精美亚克力板,nano033.jpg,** 需上传一张图片,"产品摄影，正面正视图。关键：必须严格保留输入插图的原始艺术风格、线条和人物特征。请勿对图画本身进行抽象或简化。

作品为实体多层结构，安装于白色墙面上。

构图规则：

1. 最终产品摄影的宽高比和方向应与输入源图像的尺寸一致。

2. 使用可见的金属支架固定一块大型透明底板。

3. 至关重要的是，整个模切插图（所有图层）必须完全包含在底板的边界内。

4. 插图边缘与底板边缘之间应留有适当的清晰边距。

材料物理原理（高透光率）：

在底板上，使用超透明、高亮度着色亚克力板重建图案，这种亚克力板专为最大限度透光而设计。

1. 颜色为透明材料本身的颜色（玻璃般），而非涂绘。

2. 皮肤/白色区域：必须使用纯净、无色、超透明的玻璃状亚克力板。

3. 彩色区域（头发/衣物）：使用高透光率的彩色亚克力板。颜色鲜艳，但透光性极佳，允许大量光线通过。

光照与阴影：

强烈的冷色调斜射光能够穿透高度透明的画面。 光线不会形成浓重的阴影，而是在墙面上投射出明亮、闪耀、高度半透明的彩色光晕，展现出墙面的纹理。 阴影区域应感觉轻盈通透，将墙面原有的色彩以明亮的投影形式呈现出来。8K分辨率，超高清细节。"
 电脑桌面吉祥物,nano034.jpg,** 需上传一张参考图片作为生成吉祥物的对象,"操作系统环境：

- 选择一项：“Windows 11 风格桌面”或“macOS Sonoma 风格桌面”

- 如果未指定，则让模型选择最自然的操作系统界面

- 使用基于所选操作系统的真实界面元素

主题：

- 基于参考图像 A 的角色

- 使用半 3D 动漫风格渲染

- 清晰的阴影和立体的高光

- 以桌面吉祥物的形式与真实的操作系统界面互动

构图：

- 16:9 比例的逼真电脑桌面

- 包含逼真的应用程序窗口和图标

- 角色自然地位于这些界面元素上或周围

动作：

- 允许模型自由选择吉祥物般的行为，例如：

- 趴在窗口顶部边缘

- 坐在窗框上

- 触摸、查看或对图标做出反应

- 从文件夹或应用程序后面窥视

- 动作应感觉真实自然，略带趣味性

位置：

- 显示在真实的桌面上操作系统风格的桌面（Windows/macOS）

- 显示已识别的 UI 元素（例如，Chrome 窗口、文件夹图标、任务栏/Dock）

- 图标和窗口看起来逼真，但仅用作背景元素

风格：

- 半 3D 动画着色（柔和的卡通渲染风格）

- 使用清晰的阴影而非边缘光

- 干净的数字渲染，与真实的桌面 UI 自然融合

相机光照：

- 中性的正面或顶部光照，以创建清晰、方向性的阴影

- 柔和的环境光，以保持与桌面色彩的和谐

- 类似屏幕截图的正面拍摄角度

颜色：

- 桌面采用类似操作系统的冷色调

- 角色颜色精确地遵循参考图 A

- 强调阴影以增强 3D 立体感

文本：

- 除非必要，否则不添加文本

编辑说明：

- 使用参考图 A 以确保角色准确性

- 通过清晰的阴影平面强调 3D 立体感

- 确保角色显示在真实桌面 UI 元素之上

- 保持真实 UI 资源不变，仅用作背景元素背景信息

参考资料：

A：角色外观参考

其他：

- 高分辨率

- 逼真的操作系统用户界面渲染

- 清晰的合成和精确的图层分离

- 支持创意十足的吉祥物式动作"
 城市冰箱贴,nano035.jpg,无,展示一张清晰的俯视图，照片内容为 [城市名称] 地标建筑的3D磁贴，磁贴需整齐排列成平行线和直角，呈小山状。这些磁贴需为逼真的微缩模型。在顶部中央放置一个印有城市名称的纪念磁贴，以及一张手写便签，上面写着温度和天气状况。将与当日天气相关的物品融入到小山状装饰中。所有物品不得重复。
 国家美食地图,nano036.jpg,无,制作一张 [国家名称] 地图，地图上每个州都用该州最著名的食物来构成（各州地图上的图案应该看起来像是由食物组成的，而不是食物的图片）。仔细检查，确保每个州都正确无误。
 城市天气卡片,nano037.jpg,无,"呈现一个清晰的45°俯视视角，垂直（9:16）等距3D微缩卡通场景，突出画面中心的标志性地标，展现精细的建模。

场景采用柔和细腻的纹理，搭配逼真的PBR材质和柔和逼真的光影效果。天气元素巧妙地融入城市建筑，在城市景观和大气条件之间建立动态互动，营造身临其境的天气氛围。

使用简洁统一的构图，采用极简主义美学，并以柔和的纯色背景突出主要内容。整体视觉风格清新舒缓。

在顶部中心醒目位置显示天气图标，其下方显示日期（超小字体）和温度范围（中等字体）。城市名称（大字体）位于天气图标正上方。天气信息无背景，可以与建筑物略微重叠。

文本应与输入城市的本地语言一致。

渲染前请获取指定城市的当前天气状况。

城市名称：[上海]"
 Q 版微缩概念店,nano038.jpg,无,这款3D Q版 [星巴克] 迷你概念店设计别具匠心，其外观灵感源自品牌最具代表性的产品和包装（例如，巨型{品牌核心产品，如炸鸡桶/汉堡/甜甜圈/烤鸭}）。店铺共两层，落地玻璃窗将温馨精致的内部装潢尽收眼底：{品牌主色调}主题装饰、温暖的灯光，以及身着品牌专属服装的忙碌员工。可爱的小人偶在街道上漫步、休憩，周围环绕着长椅、路灯和盆栽，营造出迷人的都市景象。该作品采用Cinema 4D软件以微缩城市景观风格渲染，拥有盲盒玩具般的精致美感，细节丰富，栩栩如生，柔和的灯光更添一份轻松惬意的午后氛围。请参阅随附的角色设定图，了解店内出现的迷你角色。--ar 2:3
 星穹铁道战斗画面,nano039.jpg,无,一张高清4K截图，展示了《崩坏3：星之轨道》PC版的游戏画面，图中联动角色为芙莉莲。她正在战斗中，用法杖施放佐特拉克。
 根据模切线折叠成盒子,nano040.jpg,无,将模切线组装成一个完美折叠的3D盒子，确保面板位置精准、边缘清晰、文字无变形。所有图案均需与模切线上的印刷完全一致。在简约的高端摄影棚环境中，以柔和的中性背景、漫射光和微妙的阴影渲染盒子，无需任何额外道具。以精致的四分之三角度展示盒子竖立的形态。呈现超逼真的细节、真实的色彩、哑光纸板质感、清晰的折痕，以及高端的编辑美感。
 拍立得照片,nano041.jpg,** 需上传一张人物参考图片,"请使用附图中的人物。

姓名：____。

这张“instax mini”（Cheki）相机放置在桌面上的照片已生成，完美还原了附图中人物的发型、服装和风格。

[胶片格式规格]

整张照片为竖版矩形（86mm x 54mm）。

照片四周环绕着白色边框，顶部、左侧和右侧边框较窄，底部边框较宽（约为顶部边框的两倍），精确再现了instax mini的独特格式。

图像区域为竖版（4:3比例）。

[注释规格（由AI根据附图中人物的性格推断）]

以下涂鸦使用马克笔手写，颜色与附图中人物的性格相符。

1. 顶部窄边：一行根据人物性格推断的日语信息。

2. 底部宽阔的留白：照片的创作日期（例如，2025.11.29）以及人物流畅的手写签名。

3. 照片主体部分：点缀着可爱的涂鸦，例如爱心、星星、闪光和表情符号，但并未遮挡面部。

[人物] 照片主体位于画面中心，拍摄对象从头部到膝盖。人物在白墙前摆出一个随意的、类似偶像的姿势（姿势是根据人物的外貌推断的）。高对比度、略微泛白的胶片质感表明照片是用闪光灯直射拍摄的。

[纹理和背景]

照片放置在白色桌面上，投射出自然的阴影。"
垂直切片失真特效,nano042.jpg,无,"{

""style"": {

""name"": ""vertical_slice_glitch"",

""description"": ""采用垂直切片扭曲、故障分裂和模拟风格颗粒的高级时尚人像。"",

""elements"": {

""subject"": {

""type"": ""fashion_portrait"",

""framing"": ""tight_face_centered"",

""expression"": ""neutral_or_intense"",

""lighting"": ""soft_diffused_studio"",

""skin_texture"": ""realistic_with_blush"",

""wardrobe"": ""minimal_solid_colors""

},

""distortion"": {

""effect"": ""vertical_slit_scan"",

""slice_count"": ""40-80"",

""slice_thickness"": ""thin"",

""displacement_amount"": ""medium"",

""alignment"": ""center_weighted"",

""smooth_blend_edges"": false,

""random_offset"": true,

""方向"": ""垂直""

},

""纹理"": {

""颗粒"": ""中等偏重"",

""噪点"": ""精细数码噪点"",

""压缩伪影"": ""细微"",

""胶片"": ""哑光时尚编辑""

},

""调色板"": {

""背景"": ""#F2F2F2"",

""色调"": ""柔和中性"",

""强调"": ""深红色"",

""对比度"": ""中高""

},

""相机"": {

""镜头"": ""85mm人像"",

""景深"": ""浅"",

""对焦"": ""眼睛"",

""角度"": ""正面""

}
}

},

""输出"": {
""格式"": ""高时尚故障人像"",

""宽高比"": ""3:4"",

""分辨率"": ""高""

}
}"
 图像UV展开,nano043.jpg,** 需上传一张参考图片,"展开图中所示3D模型的UV贴图。

图中约三分之一的区域应为参考视图，显示3D模型本身。剩余区域应包含头部、身体和四肢的UV布局。展开3D模型的表面，并将其展平为一个0-1的二维UV空间。"
 鱼眼广角自拍,nano044.jpg,** 需上传一张参考图片,"一张超逼真的鱼眼广角自拍，使用老式35mm鱼眼镜头拍摄，产生严重的桶形畸变。照片中人物手中没有相机或手机。

主体与动作：一张特写、略带畸变的合影，[上传图片中的人物]正在与[人物]自拍。每个人都在做着夸张的表情，微微眯着眼睛，因为闪光灯的照射。

光线与质感：强烈的直射闪光灯在人物背后形成明显的阴影。真实的胶片颗粒感，边缘略微的动态模糊，以及色差。这张照片看起来像是抓拍的业余快照，仿佛是在混乱的幕后瞬间拍摄的，而不是影棚照片。"
 和电影角色合照,nano045.jpg,** 需上传一张参考图片,"我在[电影名称]片场和[电影角色]自拍。

请保持人物与参考图片完全一致，包括面部特征、骨骼结构、肤色、表情、姿势和外貌，100%相同。1:1宽高比，4K分辨率。"
 伪造抖音截图,nano046.jpg,无,帮我生成一帧抖音竖屏短视频截图，内容是厨房帝王蟹下锅处理，厨师面对镜头展示食材和案板上成套的厨具
 3D 微缩等距房间模型,nano047.jpg,无,"一个等距3D立方体微缩房间（浅切面真立方体；所有物品均严格包含在立方体内）。房间描述：[房间描述：详细描述主题、家具、特定杂物、墙面装饰和关键物品]。

人物：Q版/手办风格——[在此处插入您上传照片中人物的描述]。人物动作：[例如，坐在椅子上打字、站着做饭、弹吉他]，表情：[例如，专注、快乐、微笑]。人物材质看起来像是哑光PVC，头部较大，身体较小。光照：[氛围名称]：[光源：例如，霓虹蓝光、暖日光、金色灯光]；逼真的反射和彩色阴影。视角：略微抬高的等距四分之三视角，立方体正面边缘居中；没有任何元素突出于立方体之外。照片级材质，细节丰富；中性背景。画面细节丰富，构图清晰；无水印。"
